topic,concept,question,correct_answer,bloom_level,explanation,option_A,option_B,option_C,option_D
Control Flow,if-else statements,"What will be the output of the following code snippet?


int number = 10;
if (number > 5) {
    System.out.println(""Greater than 5"");
} else {
    System.out.println(""5 or less"");
}",D,Apply,"The code uses an if-else statement to check if the variable 'number' is greater than 5. Since 'number' is 10, which is indeed greater than 5, the condition evaluates to true, and the program executes the first block, printing 'Greater than 5'.",Misconception: An object is only eligible for garbage collection if all references are explicitly set to null,Inheritance alone is enough to handle all specific behaviors of different animal types without needing to override methods,"If you change a class, you must recompile any client applications to include the new features",Greater than 5
Control Flow,switch statements,"In programming, what is the primary purpose of a switch statement?",A,Understand,"A switch statement is used to select one of many code blocks to execute. It evaluates the value of a variable or expression and matches it against predefined cases. When a match is found, the corresponding block of code is executed. This allows for more readable and organized code, especially when dealing with multiple conditions.",To execute different blocks of code based on the value of a variable or expression.,"Misconception: Students might misunderstand polymorphism, thinking that an array of a specific type can hold objects of any unrelated type",Misconception: Students may believe that interfaces can have implemented methods without using default or static modifiers,Inheritance alone is enough to handle all specific behaviors of different animal types without needing to override methods
Control Flow,for loops,Which of the following best describes the primary use of a 'for loop' in programming?,C,Understand,"A 'for loop' is used to repeat a block of code for each element in a sequence, such as a list, tuple, or range. This allows for efficient iteration over collections of data, performing operations on each element.",Inheritance alone is enough to handle all specific behaviors of different animal types without needing to override methods,Misconception: An object is only eligible for garbage collection if all references are explicitly set to null,"To iterate over a sequence of elements, such as a list or range, executing a block of code multiple times.",Misconception: Students may believe that interfaces can have implemented methods without using default or static modifiers
Control Flow,while loops,Which of the following best describes the behavior of a 'while' loop in programming?,C,Understand,A 'while' loop continues to execute the block of code it contains as long as the condition specified in its declaration remains true. This allows for repeated execution of code until the condition is no longer met.,Misconception: An object is only eligible for garbage collection if all references are explicitly set to null,Misconception: Students may believe that interfaces can have implemented methods without using default or static modifiers,It repeatedly executes a block of code as long as a specified condition is true.,"Misconception: If a method ends, all objects created within it are immediately destroyed"
Control Flow,do-while loops,Which of the following best describes a characteristic of a do-while loop?,C,Understand,"A do-while loop ensures that the loop body is executed at least once because the condition is checked after the loop body has been executed. This is different from other loops like the while loop, where the condition is checked before the loop body is executed.",Misconception: Students may believe that interfaces can have implemented methods without using default or static modifiers,Misconception: An object is only eligible for garbage collection if all references are explicitly set to null,It executes the loop body at least once before checking the condition.,"Misconception: Students might misunderstand polymorphism, thinking that an array of a specific type can hold objects of any unrelated type"
Control Flow,break and continue statements,"In a loop, what is the primary difference between the 'break' and 'continue' statements?",A,Understand,"The 'break' statement is used to terminate the loop immediately, stopping any further iterations. In contrast, the 'continue' statement does not stop the loop but skips the rest of the code in the current iteration and moves directly to the next iteration of the loop.","The 'break' statement exits the loop entirely, while the 'continue' statement skips the current iteration and proceeds to the next one.",Inheritance alone is enough to handle all specific behaviors of different animal types without needing to override methods,Break statements can be used freely without making the code difficult to understand or debug,Misconception: An object is only eligible for garbage collection if all references are explicitly set to null
Data Types,Primitive data types,Which of the following is NOT considered a primitive data type in most programming languages?,B,Understand,"Primitive data types are the most basic data types available in a programming language. Common examples include Integer, Boolean, and Character. A String is typically considered a composite or non-primitive data type because it is composed of multiple characters.","Misconception: Students might assume that arrays can be declared with a size in their type declaration, like 'Of76 [3] i;'",String,Misconception: You can assign any numeric type to any other numeric type without issues,Misconception: The toString method must be static
Data Types,Integer vs floating-point division,What is the result of the expression 7 / 2 in most programming languages that use floating-point division by default?,B,Understand,"In many programming languages, the division operator '/' performs floating-point division by default, resulting in a floating-point number. Therefore, 7 divided by 2 yields 3.5, as it calculates the precise quotient rather than just the integer part.",Misconception: You can assign any numeric type to any other numeric type without issues,3.5,"The return type of a method is determined by the type of variables used within the method, rather than the declared return type",Misconception: Adding an empty string to a number results in a numeric addition
Data Types,Type casting,Which of the following statements correctly demonstrates type casting an integer to a string in Python?,B,Understand,"Type casting is the process of converting a variable from one data type to another. In Python, the 'str()' function is used to convert an integer to a string. Therefore, 'str(42)' correctly demonstrates type casting an integer to a string.",Misconception: The toString method is invoked automatically only when using println,str(42),Misconception: Adding an empty string to a number results in a numeric addition,Misconception: You can assign any numeric type to any other numeric type without issues
Data Types,String handling,Which of the following methods can be used to concatenate two strings in Python?,B,Understand,"In Python, the '+' operator is used to concatenate two strings, effectively joining them together to form a new string.",Misconception: Adding an empty string to a number results in a numeric addition,The '+' operator,"Misconception: Students might assume that arrays can be declared with a size in their type declaration, like 'Of76 [3] i;'",Misconception: The toString method is invoked automatically only when using println
